timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
144197131,144196995,0.52851164,0.8135383,0.729604,0.60630214,nan,nan,nan,nan,0
144295978,144295839,0.5018179,0.7972351,0.742918,0.6099397,nan,nan,nan,nan,0
144397288,144397153,0.4781556,0.8333192,0.77946705,0.58246315,nan,nan,nan,nan,0
144494897,144494760,0.51248235,0.793254,0.7311881,0.61882704,nan,nan,nan,nan,0
144596226,144596076,0.53366476,0.799252,0.71783984,0.61773086,nan,nan,nan,nan,0
144697522,144697389,0.4826027,0.8474222,0.7652489,0.54562867,nan,nan,nan,nan,0
144796367,144796232,0.51330686,0.8160619,0.73238105,0.5874006,nan,nan,nan,nan,0
144897681,144897546,0.546589,0.7943219,0.6993602,0.59241986,nan,nan,nan,nan,0
144995289,144995153,0.49276438,0.8563541,0.7522446,0.5320906,nan,nan,nan,nan,0
145096603,145096468,0.5195551,0.82929754,0.7219601,0.5650962,nan,nan,nan,nan,0
145195452,145195311,0.531616,0.7884312,0.7110844,0.58457184,nan,nan,nan,nan,0
145296758,145296625,0.50509185,0.8505106,0.73673964,0.5263742,nan,nan,nan,nan,0
145398078,145397939,0.49984586,0.8321454,0.7377406,0.55436724,nan,nan,nan,nan,0
145495684,145495547,0.5194513,0.7772866,0.7285097,0.61989444,nan,nan,nan,nan,0
145597000,145596861,0.5146528,0.8205179,0.74516654,0.58000964,nan,nan,nan,nan,0
145695837,145695704,0.50445706,0.8341711,0.7664827,0.5589644,nan,nan,nan,nan,0
145797155,145797018,0.54517883,0.8115558,0.7187071,0.5821137,nan,nan,nan,nan,0
145894760,145894626,0.5194586,0.8303895,0.7477548,0.56115586,nan,nan,nan,nan,0
145996077,145995940,0.49546543,0.8503022,0.7635292,0.5425172,nan,nan,nan,nan,0
146097390,146097254,0.5258745,0.8099681,0.7319983,0.5697471,nan,nan,nan,nan,0
146196233,146196097,0.5334437,0.7931203,0.7180559,0.58384967,nan,nan,nan,nan,0
146297549,146297411,0.48284614,0.8365168,0.76327455,0.54228336,nan,nan,nan,nan,0
146395155,146395019,0.5269783,0.7935115,0.7329392,0.603553,nan,nan,nan,nan,0
146497707,146497568,0.5381369,0.77253854,0.7296989,0.61838317,nan,nan,nan,nan,0
146595311,146595176,0.485854,0.8499317,0.77927285,0.5354685,nan,nan,nan,nan,0
146696627,146696490,0.5328692,0.82837856,0.7291786,0.5621659,nan,nan,nan,nan,0
146797937,146797804,0.5427786,0.8000448,0.70446116,0.5888557,nan,nan,nan,nan,0
146895566,146895412,0.49626902,0.8593717,0.7707088,0.5423932,nan,nan,nan,nan,0
146996864,146996726,0.52386767,0.8264486,0.73312896,0.56376755,nan,nan,nan,nan,0
147095702,147095569,0.54822356,0.7966132,0.71336174,0.58656126,nan,nan,nan,nan,0
147197019,147196883,0.48895818,0.82600296,0.75973064,0.56473213,nan,nan,nan,nan,0
147294643,147294491,0.5160291,0.8218477,0.74032193,0.5839622,nan,nan,nan,nan,0
147395941,147395805,0.54201937,0.79433596,0.71050733,0.5985863,nan,nan,nan,nan,0
147498491,147498355,0.49009418,0.82199806,0.7510577,0.5778829,nan,nan,nan,nan,0
147596111,147595962,0.5067054,0.8481111,0.7442491,0.5669915,nan,nan,nan,nan,0
147697412,147697276,0.5467389,0.7843483,0.7073431,0.6234109,nan,nan,nan,nan,0
147795018,147794884,0.49057406,0.85718876,0.76082325,0.5454508,nan,nan,nan,nan,0
147897572,147897434,0.50059813,0.85427964,0.74491096,0.5510125,nan,nan,nan,nan,0
147995176,147995041,0.52854645,0.79865927,0.7144467,0.6130408,nan,nan,nan,nan,0
148096490,148096355,0.4934698,0.84420115,0.7534149,0.57060844,nan,nan,nan,nan,0
148197804,148197669,0.48345676,0.8470594,0.7531936,0.558095,nan,nan,nan,nan,0
148295410,148295277,0.5297656,0.79063267,0.70366716,0.6323603,nan,nan,nan,nan,0
148397967,148397827,0.5128655,0.83772516,0.75029314,0.57079434,nan,nan,nan,nan,0
148495570,148495434,0.5041872,0.8570031,0.7391786,0.5503461,nan,nan,nan,nan,0
148596886,148596748,0.5292302,0.81208473,0.7063404,0.60001814,nan,nan,nan,nan,0
148694490,148694356,0.49656126,0.8446951,0.7629102,0.5636199,nan,nan,nan,nan,0
148797042,148796905,0.49905086,0.86700857,0.7495218,0.5453343,nan,nan,nan,nan,0
148898356,148898220,0.5554018,0.829122,0.696236,0.5746705,nan,nan,nan,nan,0
148995969,148995827,0.49841827,0.83463645,0.75328636,0.5700852,nan,nan,nan,nan,0
149097281,149097141,0.48455635,0.8431036,0.71683025,0.59899354,nan,nan,nan,nan,0
149194893,149194749,0.46116173,0.86053026,0.74256206,0.555635,nan,nan,nan,nan,0
149297438,149297298,0.47080502,0.8747559,0.77366364,0.56337345,nan,nan,nan,nan,0
149395049,149394908,0.49073678,0.8607207,0.7756264,0.5927613,nan,nan,nan,nan,0
149496352,149496220,0.5412329,0.8104305,0.72905976,0.63291544,nan,nan,nan,nan,0
149597677,149597534,0.5201456,0.7940011,0.7328149,0.6380241,nan,nan,nan,nan,0
149696514,149696377,0.50652814,0.8420865,0.7563782,0.5803155,nan,nan,nan,nan,0
149797826,149797691,0.53922457,0.809019,0.7108555,0.6024069,nan,nan,nan,nan,0
149895433,149895299,0.52186793,0.8054054,0.7234119,0.5973676,nan,nan,nan,nan,0
149996747,149996613,0.4988369,0.8527629,0.75505435,0.560995,nan,nan,nan,nan,0
150095593,150095456,0.5422644,0.81965184,0.7214112,0.5821489,nan,nan,nan,nan,0
150196909,150196770,0.54165316,0.79665416,0.7064279,0.60426366,nan,nan,nan,nan,0
150298219,150298084,0.51148266,0.8585879,0.7571273,0.5369584,nan,nan,nan,nan,0
150395827,150395692,0.52662057,0.80215305,0.73308146,0.59965545,nan,nan,nan,nan,0
150497143,150497006,0.54664373,0.80819154,0.7074261,0.59470725,nan,nan,nan,nan,0
150595990,150595849,0.49853688,0.84886104,0.759671,0.5642383,nan,nan,nan,nan,0
150697296,150697163,0.5128932,0.84159964,0.73266786,0.5722861,nan,nan,nan,nan,0
150794914,150794771,0.55240047,0.8113621,0.7067247,0.5961784,nan,nan,nan,nan,0
150896220,150896085,0.50855994,0.82936484,0.7549104,0.57335216,nan,nan,nan,nan,0
150997536,150997399,0.49985972,0.86470264,0.7543163,0.54614294,nan,nan,nan,nan,0
151096383,151096242,0.53931695,0.79215556,0.7182282,0.6236175,nan,nan,nan,nan,0
151197691,151197556,0.5219564,0.8191396,0.7384787,0.58610904,nan,nan,nan,nan,0
151295297,151295164,0.49689117,0.84952027,0.76613486,0.552938,nan,nan,nan,nan,0
151396617,151396478,0.559708,0.81939375,0.7127732,0.5854487,nan,nan,nan,nan,0
151495462,151495321,0.5162541,0.8134995,0.75425905,0.582667,nan,nan,nan,nan,0
151596769,151596635,0.49458727,0.871406,0.77504563,0.5253898,nan,nan,nan,nan,0
151698092,151697949,0.54715466,0.80823445,0.72662115,0.59928304,nan,nan,nan,nan,0
151795689,151795557,0.51574886,0.8094539,0.75342566,0.5814006,nan,nan,nan,nan,0
151897011,151896872,0.5022821,0.8528448,0.77507377,0.54389894,nan,nan,nan,nan,0
151995851,151995715,0.58754563,0.80278707,0.72451514,0.6288037,nan,nan,nan,nan,0
152097164,152097028,0.5658646,0.82434064,0.7803547,0.66248226,nan,nan,nan,nan,0
152194771,152194635,0.5244116,0.9148837,0.83169454,0.58096254,nan,nan,nan,nan,0
152296086,152295949,0.55408335,0.87437123,0.8084163,0.6265011,nan,nan,nan,nan,0
152397398,152397264,0.55247855,0.8510643,0.8077904,0.6508341,nan,nan,nan,nan,0
152496241,152496107,0.5105274,0.9267094,0.8243254,0.56677204,nan,nan,nan,nan,0
152597561,152597421,0.5549418,0.84465694,0.75622874,0.6408915,nan,nan,nan,nan,0
152695163,152695028,0.5382458,0.83573276,0.73902076,0.6274955,nan,nan,nan,nan,0
152796481,152796343,0.50102943,0.88254076,0.74138045,0.57656705,nan,nan,nan,nan,0
152895322,152895185,0.53188556,0.79521143,0.687395,0.679979,nan,nan,nan,nan,0
