timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
684508003,684507737,0.9998874,0.011649888,0.0031126759,-0.008935766,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684557418,684557155,0.9998717,0.01327696,0.0014683616,-0.008852873,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684606894,684606574,0.99983746,0.015708033,0.00086723495,-0.00880577,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684651310,684651050,0.99983877,0.015713094,0.0007278227,-0.008662674,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684705675,684705411,0.99986094,0.014299769,-0.000335943,-0.00858203,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684755094,684754829,0.9998562,0.014324683,-0.0019341699,-0.008868799,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684804509,684804247,0.99982405,0.01621353,-0.0018752755,-0.009244402,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684858901,684858608,0.9998074,0.017131185,-0.00011047673,-0.009575127,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684903431,684903084,0.9998175,0.016408907,0.0011321465,-0.009718301,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
684952784,684952503,0.9998464,0.014422508,0.00048180448,-0.009946858,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685002182,685001921,0.9998549,0.013529173,-0.00020199904,-0.010351259,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685056573,685056282,0.9998336,0.0147622535,0.00081306783,-0.0106938835,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685105966,685105700,0.9998158,0.015609604,0.0020077785,-0.0109828655,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685155378,685155119,0.99983144,0.014527387,0.0015269816,-0.011123726,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685204822,685204537,0.9998407,0.0137056075,0.00089114835,-0.011405434,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685254256,685253956,0.99982756,0.014263436,0.0017905482,-0.011759772,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685303638,685303374,0.99980587,0.015362681,0.003101238,-0.011940771,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685353054,685352792,0.99980414,0.015390305,0.0032904292,-0.012000836,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685407422,685407153,0.99983275,0.013796903,0.0022279676,-0.011804528,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685456845,685456571,0.99985987,0.011991021,0.0021984854,-0.011480817,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685506299,685505990,0.9998716,0.011112922,0.0033035274,-0.011071076,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
685555681,685555408,0.99986655,0.011402518,0.0044357604,-0.010830499,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
